new_name;labels;L_HMG2019_2_7p.dta
;Wat zou dan de partners bruto maandelijks inkomen zijn (bij een baan van 40 uur);v15a_1
;Wat zou dan de partners bruto maandelijks inkomen zijn (bij een baan van 40 uur);v15a_10
;Wat zou dan de partners bruto maandelijks inkomen zijn (bij een baan van 40 uur);v15a_2
;Wat zou dan de partners bruto maandelijks inkomen zijn (bij een baan van 40 uur);v15a_3
;Wat zou dan de partners bruto maandelijks inkomen zijn (bij een baan van 40 uur);v15a_4
;Wat zou dan de partners bruto maandelijks inkomen zijn (bij een baan van 40 uur);v15a_5
;Wat zou dan de partners bruto maandelijks inkomen zijn (bij een baan van 40 uur);v15a_6
;Wat zou dan de partners bruto maandelijks inkomen zijn (bij een baan van 40 uur);v15a_7
;Wat zou dan de partners bruto maandelijks inkomen zijn (bij een baan van 40 uur);v15a_8
;Wat zou dan de partners bruto maandelijks inkomen zijn (bij een baan van 40 uur);v15a_9
;Wat zou dan de partners bruto maandelijks inkomen zijn (bij een baan van 40 uur);v15b_1
;Wat zou dan de partners bruto maandelijks inkomen zijn (bij een baan van 40 uur);v15b_10
;Wat zou dan de partners bruto maandelijks inkomen zijn (bij een baan van 40 uur);v15b_2
;Wat zou dan de partners bruto maandelijks inkomen zijn (bij een baan van 40 uur);v15b_3
;Wat zou dan de partners bruto maandelijks inkomen zijn (bij een baan van 40 uur);v15b_4
;Wat zou dan de partners bruto maandelijks inkomen zijn (bij een baan van 40 uur);v15b_5
;Wat zou dan de partners bruto maandelijks inkomen zijn (bij een baan van 40 uur);v15b_6
;Wat zou dan de partners bruto maandelijks inkomen zijn (bij een baan van 40 uur);v15b_7
;Wat zou dan de partners bruto maandelijks inkomen zijn (bij een baan van 40 uur);v15b_8
;Wat zou dan de partners bruto maandelijks inkomen zijn (bij een baan van 40 uur);v15b_9
;Wat vindt u van de volgende uitspraak? Kind1 probeert/probeerde tijdens de studi;v16_1
;Wat vindt u van de volgende uitspraak? Kind10 probeert/probeerde tijdens de stud;v16_10
;Wat vindt u van de volgende uitspraak? Kind2 probeert/probeerde tijdens de studi;v16_2
;Wat vindt u van de volgende uitspraak? Kind3 probeert/probeerde tijdens de studi;v16_3
;Wat vindt u van de volgende uitspraak? Kind4 probeert/probeerde tijdens de studi;v16_4
;Wat vindt u van de volgende uitspraak? Kind5 probeert/probeerde tijdens de studi;v16_5
;Wat vindt u van de volgende uitspraak? Kind6 probeert/probeerde tijdens de studi;v16_6
;Wat vindt u van de volgende uitspraak? Kind7 probeert/probeerde tijdens de studi;v16_7
;Wat vindt u van de volgende uitspraak? Kind8 probeert/probeerde tijdens de studi;v16_8
;Wat vindt u van de volgende uitspraak? Kind9 probeert/probeerde tijdens de studi;v16_9
;Kind1 krijgt/kreeg advies van zijn/haar broers of zussen en/of zijn/haar broers ;v17_1
;Kind10 krijgt/kreeg advies van zijn/haar broers of zussen en/of zijn/haar broers;v17_10
;Kind2 krijgt/kreeg advies van zijn/haar broers of zussen en/of zijn/haar broers ;v17_2
;Kind3 krijgt/kreeg advies van zijn/haar broers of zussen en/of zijn/haar broers ;v17_3
;Kind4 krijgt/kreeg advies van zijn/haar broers of zussen en/of zijn/haar broers ;v17_4
;Kind5 krijgt/kreeg advies van zijn/haar broers of zussen en/of zijn/haar broers ;v17_5
;Kind6 krijgt/kreeg advies van zijn/haar broers of zussen en/of zijn/haar broers ;v17_6
;Kind7 krijgt/kreeg advies van zijn/haar broers of zussen en/of zijn/haar broers ;v17_7
;Kind8 krijgt/kreeg advies van zijn/haar broers of zussen en/of zijn/haar broers ;v17_8
;Kind9 krijgt/kreeg advies van zijn/haar broers of zussen en/of zijn/haar broers ;v17_9
;Ik gebruik woorden en gebaren om mijn kind te laten zien dat ik van hem/haar hou;v18a
;Ik praat met mijn kind over dingen die hij/zij buitenshuis heeft gedaan, gezien ;v18b
;Ik vraag mijn kind om zijn/haar mening bij onderwerpen die met de familie te mak;v18c
;Ik straf mijn kind als hij/zij ongehoorzaam is.;v18d
;Als mijn kind niet thuis is, dan weet ik precies waar hij/zij is.;v18e
;Ik ben eerder streng dan niet streng voor mijn kind.;v18f
;Ik troost mijn kind als hij/zij zich verdrietig voelt.;v18g
;Als ik mijn kind vraag om iets wel of juist niet te doen, dan leg ik hem/haar ui;v18h
;Ik maak mijn kind duidelijk dat hij/zij niet tegen besluiten of opdrachten in mo;v18i
;Ik geef mijn kind complimenten.;v18j
;Ik probeer actief invloed te hebben op met welke vrienden mijn kind omgaat.;v18k
;Als ik voor mijn kind een beslissing moet nemen, bespreek ik dat met mijn kind e;v18l
;Kinderen moeten dicht bij hun ouders wonen.;v19a
;Kinderen moet zorgen voor hun zieke ouders.;v19b
;Kinderen moet hun ouders financieel helpen.;v19c
;Kinderen moeten regelmatig met hun ouders bellen of op bezoek gaan.;v19d
;De erfenis die ouders aan hun kinderen nalaten kan een belangrijke bron van inko;v19e
;Ongeveer hoeveel procent van uw eigen netto inkomen gaat naar de gezamenlijke re;v1b
;Ongeveer hoeveel procent van uw partners netto inkomen gaat naar de gezamenlijke;v1c
;I;v20a_1_geluk_1
;Hoe groot is de kans dat u voor elke school gaat kiezen? Vignet 1. School I. kan;v20a_1_kans_1
;I;v20a_1_kind_1
;I;v20a_1_wh_1
;I;v20a_1_zelf_1
;I;v20a_2_geluk_2
;Hoe groot is de kans dat u voor elke school gaat kiezen? Vignet 2. School I. kan;v20a_2_kans_2
;I;v20a_2_kind_2
;I;v20a_2_wh_2
;I;v20a_2_zelf_2
;I;v20a_3_geluk_3
;Hoe groot is de kans dat u voor elke school gaat kiezen? Vignet 3. School I. kan;v20a_3_kans_3
;I;v20a_3_kind_3
;I;v20a_3_wh_3
;I;v20a_3_zelf_3
;I;v20a_4_geluk_4
;Hoe groot is de kans dat u voor elke school gaat kiezen? Vignet 4. School I. kan;v20a_4_kans_4
;I;v20a_4_kind_4
;I;v20a_4_wh_4
;I;v20a_4_zelf_4
;II;v20b_1_geluk_1
;Hoe groot is de kans dat u voor elke school gaat kiezen? Vignet 1. School II. ka;v20b_1_kans_1
;II;v20b_1_kind_1
;II;v20b_1_wh_1
;II;v20b_1_zelf_1
;II;v20b_2_geluk_2
;Hoe groot is de kans dat u voor elke school gaat kiezen? Vignet 2. School II. ka;v20b_2_kans_2
;II;v20b_2_kind_2
;II;v20b_2_wh_2
;II;v20b_2_zelf_2
;II;v20b_3_geluk_3
;Hoe groot is de kans dat u voor elke school gaat kiezen? Vignet 3. School II. ka;v20b_3_kans_3
;II;v20b_3_kind_3
;II;v20b_3_wh_3
;II;v20b_3_zelf_3
;II;v20b_4_geluk_4
;Hoe groot is de kans dat u voor elke school gaat kiezen? Vignet 4. School II. ka;v20b_4_kans_4
;II;v20b_4_kind_4
;II;v20b_4_wh_4
;II;v20b_4_zelf_4
;III;v20c_1_geluk_1
;Hoe groot is de kans dat u voor elke school gaat kiezen? Vignet 1. School III. k;v20c_1_kans_1
;III;v20c_1_kind_1
;III;v20c_1_wh_1
;III;v20c_1_zelf_1
;III;v20c_2_geluk_2
;Hoe groot is de kans dat u voor elke school gaat kiezen? Vignet 2. School III. k;v20c_2_kans_2
;III;v20c_2_kind_2
;III;v20c_2_wh_2
;III;v20c_2_zelf_2
;III;v20c_3_geluk_3
;Hoe groot is de kans dat u voor elke school gaat kiezen? Vignet 3. School III. k;v20c_3_kans_3
;III;v20c_3_kind_3
;III;v20c_3_wh_3
;III;v20c_3_zelf_3
;III;v20c_4_geluk_4
;Hoe groot is de kans dat u voor elke school gaat kiezen? Vignet 4. School III. k;v20c_4_kans_4
;III;v20c_4_kind_4
;III;v20c_4_wh_4
;III;v20c_4_zelf_4
;Geeft u weer aan voor welke van de volgende mogelijkheden de kans het grootst is;v21a_A_investkans1_A
;Voor welke van de volgende mogelijkheden is de kans het grootst dat u daarvoor k;v21a_investkans1
;Geeft u weer aan voor welke van de volgende mogelijkheden de kans het grootst is;v21b_A_investkans1_A
;Voor welke van de volgende mogelijkheden is de kans het grootst dat u daarvoor k;v21b_investkans1
;Geeft u weer aan voor welke van de volgende mogelijkheden de kans het grootst is;v21c_A_investkans1_A
;Voor welke van de volgende mogelijkheden is de kans het grootst dat u daarvoor k;v21c_investkans1
;A. Als mijnheer en mevrouw De Jong Jan 0 uur per week helpen als hij 8-9 jaar is;v22a
;B. Als mijnheer en mevrouw De Jong Jan 1,5 uur per week helpen als hij 8-9 jaar ;v22b
;C. Als mijnheer en mevrouw De Jong Jan 3 uur per week helpen als hij 8-9 jaar is;v22c
;A. Als mijnheer en mevrouw De Jong Jan 0 uur per week helpen als hij 8-9 jaar is;v23a
;B. Als mijnheer en mevrouw De Jong Jan 1,5 uur per week helpen als hij 8-9 jaar ;v23b
;C. Als mijnheer en mevrouw De Jong Jan 3 uur per week helpen als hij 8-9 jaar is;v23c
;A. Als mijnheer en mevrouw Jansen David 0 uur per week helpen als hij 8-9 jaar i;v24a
;B. Als mijnheer en mevrouw Jansen David 1,5 uur per week helpen als hij 8-9 jaar;v24b
;C. Als mijnheer en mevrouw Jansen David 3 uur per week helpen als hij 8-9 jaar i;v24c
;A. Als mijnheer en mevrouw Jansen David 0 uur per week helpen als hij 8-9 jaar i;v25a
;B. Als mijnheer en mevrouw Jansen David 1,5 uur per week helpen als hij 8-9 jaar;v25b
;C. Als mijnheer en mevrouw Jansen David 3 uur per week helpen als hij 8-9 jaar i;v25c
;Ik weet hoeveel mijn partner verdient (ook pensioeninkomen).;v2a
;Mijn partner weet hoeveel ik verdien (ook pensioeninkomen).;v2b
;Ik ben op de hoogte van hoeveel schuld mijn partner persoonlijk heeft.;v2c
;Mijn partner is op de hoogte van hoeveel schuld ik persoonlijk heb.;v2cex
;Ik heb een credit card of bankrekening waar mijn partner niets van af weet.;v2d
;Ik ben goed op de hoogte van mijn partners grotere uitgaven (wat er is gekocht e;v2e
;Mijn partner is goed op de hoogte van mijn grotere uitgaven (wat er is gekocht e;v2e_1
;Hoe vaak vertelt u uw partner niet over de grotere uitgaven die niet echt nodig ;v2f
;Als mijn vaste inkomen hoger wordt (door bijvoorbeeld een loonsverhoging, pensio;v3a
;Als het vaste inkomen van mijn partner hoger wordt (door bijvoorbeeld een loonsv;v3b
;Als mijn inkomen onverwacht hoger is (door bijvoorbeeld een bonus, het winnen va;v3c
;Als mijn partners inkomen onverwacht hoger is (door bijvoorbeeld een bonus, het ;v3d
;Hoe vaak hebt u het over financiële doelen met uw partner/echtgeno(o)t(e)?;v4a
;Hoe vaak hebt in de afgelopen 12 maanden met uw partner/echtgeno(o)t(e) ruzie ge;v4b
;De financiën zijn een van de meest stressvolle onderdelen in mijn relatie met mi;v4c
;Mijn partner geeft te veel geld uit.;v4d
;Ik kan goed omgaan met geld en financiële zaken.;v4e
;Mijn partner kan goed omgaan met geld en financiële zaken.;v4f
marriage_date;Wanneer zijn u en uw partner getrouwd voor de burgerlijke stand of een geregistr;v51
married;Zijn u en uw partner getrouwd of hebt u een geregistreerd partnerschap?;v51voor
