new_name;labels;L_beliefs_deel4_3p.dta;L_beliefs_deel3_total3p.dta;L_beliefs_deel2_3p.dta;L_beliefs_deel1_4p.dta
evaop9;EVAOP9;evaop9;evaop9;;
evaopa;EVAOPA;evaopa;evaopa;;
evaopb;EVAOPB;evaopb;evaopb;;
evaopc;EVAOPC;evaopc;evaopc;;
evaopd;EVAOPD;evaopd;evaopd;;
evaope;EVAOPE;evaope;evaope;;
evaopf;EVAOPF;evaopf;evaopf;;
evaopg;EVAOPG;evaopg;evaopg;;
evaoph;EVAOPH;evaoph;evaoph;;
evaopi;EVAOPI;evaopi;evaopi;;
evaopj;EVAOPJ;evaopj;evaopj;;
evaopk;EVAOPK;evaopk;evaopk;;
evaopl;EVAOPL;evaopl;evaopl;;
evaopn;EVAOPN;evaopn;evaopn;;
evaopo;EVAOPO;evaopo;evaopo;;
evaopp;EVAOPP;evaopp;evaopp;;
evaopq;EVAOPQ;evaopq;evaopq;;
evaopr;EVAOPR;evaopr;evaopr;;
evaops;EVAOPS;evaops;evaops;;
evaopt;EVAOPT;evaopt;evaopt;;
evaopu;EVAOPU;evaopu;evaopu;;
evaopv;EVAOPV;evaopv;evaopv;;
evaopw;EVAOPW;evaopw;evaopw;;
evaopx;EVAOPX;evaopx;evaopx;;
evaopy;EVAOPY;evaopy;evaopy;;
evaopz;EVAOPZ;evaopz;evaopz;;
evaop10;EVAOP10;evaop10;evaop10;;
evaop11;EVAOP11;evaop11;evaop11;;
evaop12;EVAOP12;evaop12;evaop12;;
evaop13;EVAOP13;evaop13;evaop13;;
evaop14;EVAOP14;evaop14;evaop14;;
evaop15;EVAOP15;evaop15;evaop15;;
evaop16;EVAOP16;evaop16;evaop16;;
evaop17;EVAOP17;evaop17;evaop17;;
evaop18;EVAOP18;evaop18;evaop18;;
evaop19;EVAOP19;evaop19;evaop19;;
evaop1a;EVAOP1A;evaop1a;evaop1a;;
evaop1b;EVAOP1B;evaop1b;evaop1b;;
evaop1c;EVAOP1C;evaop1c;evaop1c;;
evaop1d;EVAOP1D;evaop1d;evaop1d;;
evaop1e;EVAOP1E;evaop1e;evaop1e;;
evaop1f;EVAOP1F;evaop1f;evaop1f;;
evaop1g;EVAOP1G;evaop1g;evaop1g;;
evaop1h;EVAOP1H;evaop1h;evaop1h;;
evaop1i;EVAOP1I;evaop1i;evaop1i;;
evaop1j;EVAOP1J;evaop1j;evaop1j;;
evaop1k;EVAOP1K;evaop1k;evaop1k;;
evaop1l;EVAOP1L;evaop1l;evaop1l;;
evaop1m;EVAOP1M;evaop1m;evaop1m;;
evaop1n;EVAOP1N;evaop1n;evaop1n;;
evaop1o;EVAOP1O;evaop1o;evaop1o;;
evaop1p;EVAOP1P;evaop1p;evaop1p;;
evaop1q;EVAOP1Q;evaop1q;evaop1q;;
evaop1r;EVAOP1R;evaop1r;evaop1r;;
evaop1s;EVAOP1S;evaop1s;evaop1s;;
evaop1t;EVAOP1T;evaop1t;evaop1t;;
evaop1u;EVAOP1U;evaop1u;evaop1u;;
evaop1v;EVAOP1V;evaop1v;evaop1v;;
evaop1w;EVAOP1W;evaop1w;evaop1w;;
evaop1x;EVAOP1X;evaop1x;evaop1x;;
evaop1y;EVAOP1Y;evaop1y;evaop1y;;
evaop1z;EVAOP1Z;evaop1z;evaop1z;;
answer_stock_fund_comparison;;p2;;;
evaop20;EVAOP20;evaop20;evaop20;;
evaop21;EVAOP21;evaop21;evaop21;;
evaop22;EVAOP22;evaop22;evaop22;;
evaop23;EVAOP23;evaop23;evaop23;;
evaop24;EVAOP24;evaop24;evaop24;;
evaop25;EVAOP25;evaop25;evaop25;;
evaop26;EVAOP26;evaop26;evaop26;;
evaop27;EVAOP27;evaop27;evaop27;;
evaop28;EVAOP28;evaop28;evaop28;;
evaop29;EVAOP29;evaop29;evaop29;;
evaop2a;EVAOP2A;evaop2a;evaop2a;;
evaop2b;EVAOP2B;evaop2b;evaop2b;;
evaop2c;EVAOP2C;evaop2c;evaop2c;;
evaop2d;EVAOP2D;evaop2d;evaop2d;;
evaop2e;EVAOP2E;evaop2e;evaop2e;;
evaop2f;EVAOP2F;evaop2f;evaop2f;;
evaop2g;EVAOP2G;evaop2g;evaop2g;;
evaop2h;EVAOP2H;evaop2h;evaop2h;;
evaop2i;EVAOP2I;evaop2i;evaop2i;;
