new_name;labels;cs19l_EN_1.0p.dta;cs18k_EN_1.0p.dta;cs17j_EN_1.0p.dta;cs16i_EN_1.0p.dta;cs15h_EN_1.0p.dta;cs14g_EN_1.0.dta;cs13f_1.0p_EN.dta;cs12e_1.0p_EN.dta;cs11d_EN_3.0p.dta;cs10c_1p_EN.dta;cs09b_1p_EN.dta;cs08a_2p_EN.dta
dvd_d;last 12 months spent time on a regular basis on: watching DVD/video;cs19l518;cs18k518;cs17j518;cs16i518;cs15h140;cs14g140;cs13f140;cs12e140;cs11d140;cs10c140;cs09b140;cs08a140
reading_d;last 12 months spent time on a regular basis on: reading;cs19l141;cs18k141;cs17j141;cs16i141;cs15h141;cs14g141;cs13f141;cs12e141;cs11d141;cs10c141;cs09b141;cs08a141
stamps_d;last 12 months spent time on a regular basis on: collecting stamps;cs19l142;cs18k142;cs17j142;cs16i142;cs15h142;cs14g142;cs13f142;cs12e142;cs11d142;cs10c142;cs09b142;cs08a142
collections_d;last 12 months spent time on a regular basis on: other collection;cs19l143;cs18k143;cs17j143;cs16i143;cs15h143;cs14g143;cs13f143;cs12e143;cs11d143;cs10c143;cs09b143;cs08a143
course_d;last 12 months spent time on a regular basis on: following a course;cs19l144;cs18k144;cs17j144;cs16i144;cs15h144;cs14g144;cs13f144;cs12e144;cs11d144;cs10c144;cs09b144;cs08a144
drama_d;last 12 months spent time on a regular basis on: drama musical ballet dance;cs19l145;cs18k145;cs17j145;cs16i145;cs15h145;cs14g145;cs13f145;cs12e145;cs11d145;cs10c145;cs09b145;cs08a145
equestrian_sports_d;last 12 months spent time on a regular basis on: equestrian sport;cs19l146;cs18k146;cs17j146;cs16i146;cs15h146;cs14g146;cs13f146;cs12e146;cs11d146;cs10c146;cs09b146;cs08a146
motorsport_d;last 12 months spent time on a regular basis on: car/motor sport;cs19l147;cs18k147;cs17j147;cs16i147;cs15h147;cs14g147;cs13f147;cs12e147;cs11d147;cs10c147;cs09b147;cs08a147
mechanical_d;last 12 months spent time on a regular basis on: mechanical work on car motorc;cs19l148;cs18k148;cs17j148;cs16i148;cs15h148;cs14g148;cs13f148;cs12e148;cs11d148;cs10c148;cs09b148;cs08a148
card_games_d;last 12 months spent time on a regular basis on: card games;cs19l149;cs18k149;cs17j149;cs16i149;cs15h149;cs14g149;cs13f149;cs12e149;cs11d149;cs10c149;cs09b149;cs08a149
billards_d;last 12 months spent time on a regular basis on: billiards pool snooker dart;cs19l150;cs18k150;cs17j150;cs16i150;cs15h150;cs14g150;cs13f150;cs12e150;cs11d150;cs10c150;cs09b150;cs08a150
pigeon_d;last 12 months spent time on a regular basis on: pigeon keeping;cs19l151;cs18k151;cs17j151;cs16i151;cs15h151;cs14g151;cs13f151;cs12e151;cs11d151;cs10c151;cs09b151;cs08a151
goout_d;last 12 months spent time on a regular basis on: going out cinema theatre di;cs19l152;cs18k152;cs17j152;cs16i152;cs15h152;cs14g152;cs13f152;cs12e152;cs11d152;cs10c152;cs09b152;cs08a152
cooking_d;last 12 months spent time on a regular basis on: cooking;cs19l153;cs18k153;cs17j153;cs16i153;cs15h153;cs14g153;cs13f153;cs12e153;cs11d153;cs10c153;cs09b153;cs08a153
listening_d;last 12 months spent time on a regular basis on: listening to music;cs19l154;cs18k154;cs17j154;cs16i154;cs15h154;cs14g154;cs13f154;cs12e154;cs11d154;cs10c154;cs09b154;cs08a154
fishing_d;last 12 months spent time on a regular basis on: fishing;cs19l155;cs18k155;cs17j155;cs16i155;cs15h155;cs14g155;cs13f155;cs12e155;cs11d155;cs10c155;cs09b155;cs08a155
shopping_d;last 12 months spent time on a regular basis on: shopping;cs19l156;cs18k156;cs17j156;cs16i156;cs15h156;cs14g156;cs13f156;cs12e156;cs11d156;cs10c156;cs09b156;cs08a156
traveling_d;last 12 months spent time on a regular basis on: traveling;cs19l157;cs18k157;cs17j157;cs16i157;cs15h157;cs14g157;cs13f157;cs12e157;cs11d157;cs10c157;cs09b157;cs08a157
dancing_d;last 12 months spent time on a regular basis on: dancing;cs19l158;cs18k158;cs17j158;cs16i158;cs15h158;cs14g158;cs13f158;cs12e158;cs11d158;cs10c158;cs09b158;cs08a158
boating_d;last 12 months spent time on a regular basis on: boating;cs19l159;cs18k159;cs17j159;cs16i159;cs15h159;cs14g159;cs13f159;cs12e159;cs11d159;cs10c159;cs09b159;cs08a159
musical_instrument_nbr;average number of days per week that time is spent on: playing a musical instrum;cs19l160;cs18k160;cs17j160;cs16i160;cs15h160;cs14g160;cs13f160;cs12e160;cs11d160;cs10c160;cs09b160;cs08a160
singing_nbr;average number of days per week that time is spent on: singing/choir/singing gro;cs19l161;cs18k161;cs17j161;cs16i161;cs15h161;cs14g161;cs13f161;cs12e161;cs11d161;cs10c161;cs09b161;cs08a161
small_jobs_nbr;average number of days per week that time is spent on: small jobs in and around;cs19l162;cs18k162;cs17j162;cs16i162;cs15h162;cs14g162;cs13f162;cs12e162;cs11d162;cs10c162;cs09b162;cs08a162
model_building_nbr;average number of days per week that time is spent on: model building;cs19l163;cs18k163;cs17j163;cs16i163;cs15h163;cs14g163;cs13f163;cs12e163;cs11d163;cs10c163;cs09b163;cs08a163
handicrafts_nbr;average number of days per week that time is spent on: handicrafts painting dr;cs19l164;cs18k164;cs17j164;cs16i164;cs15h164;cs14g164;cs13f164;cs12e164;cs11d164;cs10c164;cs09b164;cs08a164
photography_nbr;average number of days per week that time is spent on: photography;cs19l165;cs18k165;cs17j165;cs16i165;cs15h165;cs14g165;cs13f165;cs12e165;cs11d165;cs10c165;cs09b165;cs08a165
plants_nbr;average number of days per week that time is spent on: caring for plants (includ;cs19l166;cs18k166;cs17j166;cs16i166;cs15h166;cs14g166;cs13f166;cs12e166;cs11d166;cs10c166;cs09b166;cs08a166
handwork_nbr;average number of days per week that time is spent on: handwork;cs19l167;cs18k167;cs17j167;cs16i167;cs15h167;cs14g167;cs13f167;cs12e167;cs11d167;cs10c167;cs09b167;cs08a167
dvd_nbr;average number of days per week that time is spent on: watching DVD/video;cs19l500;cs18k500;cs17j500;cs16i500;cs15h500;cs14g168;cs13f168;cs12e168;cs11d168;cs10c168;cs09b168;cs08a168
reading_nbr;average number of days per week that time is spent on: reading;cs19l169;cs18k169;cs17j169;cs16i169;cs15h169;cs14g169;cs13f169;cs12e169;cs11d169;cs10c169;cs09b169;cs08a169
stamps_nbr;average number of days per week that time is spent on: collecting stamps;cs19l170;cs18k170;cs17j170;cs16i170;cs15h170;cs14g170;cs13f170;cs12e170;cs11d170;cs10c170;cs09b170;cs08a170
collections_nbr;average number of days per week that time is spent on: other collection;cs19l171;cs18k171;cs17j171;cs16i171;cs15h171;cs14g171;cs13f171;cs12e171;cs11d171;cs10c171;cs09b171;cs08a171
course_nbr;average number of days per week that time is spent on: following a course;cs19l172;cs18k172;cs17j172;cs16i172;cs15h172;cs14g172;cs13f172;cs12e172;cs11d172;cs10c172;cs09b172;cs08a172
drama_nbr;average number of days per week that time is spent on: drama musical ballet d;cs19l173;cs18k173;cs17j173;cs16i173;cs15h173;cs14g173;cs13f173;cs12e173;cs11d173;cs10c173;cs09b173;cs08a173
equestrian_sports_nbr;average number of days per week that time is spent on: equestrian sport;cs19l174;cs18k174;cs17j174;cs16i174;cs15h174;cs14g174;cs13f174;cs12e174;cs11d174;cs10c174;cs09b174;cs08a174
motorsport_nbr;average number of days per week that time is spent on: car/motor sport;cs19l175;cs18k175;cs17j175;cs16i175;cs15h175;cs14g175;cs13f175;cs12e175;cs11d175;cs10c175;cs09b175;cs08a175
mechanical_nbr;average number of days per week that time is spent on: mechanical work on car/mo;cs19l176;cs18k176;cs17j176;cs16i176;cs15h176;cs14g176;cs13f176;cs12e176;cs11d176;cs10c176;cs09b176;cs08a176
card_games_nbr;average number of days per week that time is spent on: card games;cs19l177;cs18k177;cs17j177;cs16i177;cs15h177;cs14g177;cs13f177;cs12e177;cs11d177;cs10c177;cs09b177;cs08a177
billards_nbr;average number of days per week that time is spent on: billiards pool snooker;cs19l178;cs18k178;cs17j178;cs16i178;cs15h178;cs14g178;cs13f178;cs12e178;cs11d178;cs10c178;cs09b178;cs08a178
pigeon_nbr;average number of days per week that time is spent on: pigeon keeping;cs19l179;cs18k179;cs17j179;cs16i179;cs15h179;cs14g179;cs13f179;cs12e179;cs11d179;cs10c179;cs09b179;cs08a179
goout_nbr;average number of days per week that time is spent on: going out cinema theatr;cs19l180;cs18k180;cs17j180;cs16i180;cs15h180;cs14g180;cs13f180;cs12e180;cs11d180;cs10c180;cs09b180;cs08a180
cooking_nbr;average number of days per week that time is spent on: cooking;cs19l181;cs18k181;cs17j181;cs16i181;cs15h181;cs14g181;cs13f181;cs12e181;cs11d181;cs10c181;cs09b181;cs08a181
listening_nbr;average number of days per week that time is spent on: listening to music;cs19l182;cs18k182;cs17j182;cs16i182;cs15h182;cs14g182;cs13f182;cs12e182;cs11d182;cs10c182;cs09b182;cs08a182
fishing_nbr;average number of days per week that time is spent on: fishing;cs19l183;cs18k183;cs17j183;cs16i183;cs15h183;cs14g183;cs13f183;cs12e183;cs11d183;cs10c183;cs09b183;cs08a183
shopping_nbr;average number of days per week that time is spent on: shopping;cs19l184;cs18k184;cs17j184;cs16i184;cs15h184;cs14g184;cs13f184;cs12e184;cs11d184;cs10c184;cs09b184;cs08a184
dancing_nbr;average number of days per week that time is spent on: dancing;cs19l185;cs18k185;cs17j185;cs16i185;cs15h185;cs14g185;cs13f185;cs12e185;cs11d185;cs10c185;cs09b185;cs08a185
boating_nbr;average number of days per week that time is spent on: boating;cs19l186;cs18k186;cs17j186;cs16i186;cs15h186;cs14g186;cs13f186;cs12e186;cs11d186;cs10c186;cs09b186;cs08a186
musical_instrument_hours;playing a musical instrument average time expenditure on days that apply hours;cs19l187;cs18k187;cs17j187;cs16i187;cs15h187;cs14g187;cs13f187;cs12e187;cs11d187;cs10c187;cs09b187;cs08a187
musical_instrument_min;playing a musical instrument average time expenditure on days that apply minut;cs19l188;cs18k188;cs17j188;cs16i188;cs15h188;cs14g188;cs13f188;cs12e188;cs11d188;cs10c188;cs09b188;cs08a188
singing_hours;singing/choir/singing group average time expenditure on days that apply hours;cs19l189;cs18k189;cs17j189;cs16i189;cs15h189;cs14g189;cs13f189;cs12e189;cs11d189;cs10c189;cs09b189;cs08a189
singing_min;singing/choir/singing group average time expenditure on days that apply minute;cs19l190;cs18k190;cs17j190;cs16i190;cs15h190;cs14g190;cs13f190;cs12e190;cs11d190;cs10c190;cs09b190;cs08a190
small_jobs_hours;small jobs in and around the house average time expenditure on days that apply;cs19l191;cs18k191;cs17j191;cs16i191;cs15h191;cs14g191;cs13f191;cs12e191;cs11d191;cs10c191;cs09b191;cs08a191
smal_jobs_min;small jobs in and around the house average time expenditure on days that apply;cs19l192;cs18k192;cs17j192;cs16i192;cs15h192;cs14g192;cs13f192;cs12e192;cs11d192;cs10c192;cs09b192;cs08a192
model_building_hours;model building average time expenditure on days that apply hours;cs19l193;cs18k193;cs17j193;cs16i193;cs15h193;cs14g193;cs13f193;cs12e193;cs11d193;cs10c193;cs09b193;cs08a193
model_building_min;model building average time expenditure on days that apply minutes;cs19l194;cs18k194;cs17j194;cs16i194;cs15h194;cs14g194;cs13f194;cs12e194;cs11d194;cs10c194;cs09b194;cs08a194
handicrafts_hours;handicrafts painting drawing clay modeling ceramics etc. average time expe;cs19l195;cs18k195;cs17j195;cs16i195;cs15h195;cs14g195;cs13f195;cs12e195;cs11d195;cs10c195;cs09b195;cs08a195
handicrafts_min;handicrafts painting drawing clay modeling ceramics etc. average time expe;cs19l196;cs18k196;cs17j196;cs16i196;cs15h196;cs14g196;cs13f196;cs12e196;cs11d196;cs10c196;cs09b196;cs08a196
photography_hours;photography average time expenditure on days that apply hours;cs19l197;cs18k197;cs17j197;cs16i197;cs15h197;cs14g197;cs13f197;cs12e197;cs11d197;cs10c197;cs09b197;cs08a197
photography_min;photography average time expenditure on days that apply minutes;cs19l198;cs18k198;cs17j198;cs16i198;cs15h198;cs14g198;cs13f198;cs12e198;cs11d198;cs10c198;cs09b198;cs08a198
plants_hours;caring for plants (including garden) or animals average time expenditure on day;cs19l199;cs18k199;cs17j199;cs16i199;cs15h199;cs14g199;cs13f199;cs12e199;cs11d199;cs10c199;cs09b199;cs08a199
plants_min;caring for plants (including garden) or animals average time expenditure on day;cs19l200;cs18k200;cs17j200;cs16i200;cs15h200;cs14g200;cs13f200;cs12e200;cs11d200;cs10c200;cs09b200;cs08a200
handwork_hours;handwork average time expenditure on days that apply hours;cs19l201;cs18k201;cs17j201;cs16i201;cs15h201;cs14g201;cs13f201;cs12e201;cs11d201;cs10c201;cs09b201;cs08a201
handwork_min;handwork average time expenditure on days that apply minutes;cs19l202;cs18k202;cs17j202;cs16i202;cs15h202;cs14g202;cs13f202;cs12e202;cs11d202;cs10c202;cs09b202;cs08a202
dvd_hours;watching DVD/video average time expenditure on days that apply hours;cs19l501;cs18k501;cs17j501;cs16i501;cs15h501;cs14g203;cs13f203;cs12e203;cs11d203;cs10c203;cs09b203;cs08a203
dvd_min;watching DVD/video average time expenditure on days that apply minutes;cs19l502;cs18k502;cs17j502;cs16i502;cs15h502;cs14g204;cs13f204;cs12e204;cs11d204;cs10c204;cs09b204;cs08a204
reading_hours;reading average time expenditure on days that apply total hours;cs19l205;cs18k205;cs17j205;cs16i205;cs15h205;cs14g205;cs13f205;cs12e205;cs11d205;cs10c205;cs09b205;cs08a205
reading_min;reading average time expenditure on days that apply total minutes;cs19l206;cs18k206;cs17j206;cs16i206;cs15h206;cs14g206;cs13f206;cs12e206;cs11d206;cs10c206;cs09b206;cs08a206
stamps_hours;collecting stamps average time expenditure on days that apply hours;cs19l207;cs18k207;cs17j207;cs16i207;cs15h207;cs14g207;cs13f207;cs12e207;cs11d207;cs10c207;cs09b207;cs08a207
stamps_min;collecting stamps average time expenditure on days that apply minutes;cs19l208;cs18k208;cs17j208;cs16i208;cs15h208;cs14g208;cs13f208;cs12e208;cs11d208;cs10c208;cs09b208;cs08a208
collections_hours;other collection average time expenditure on days that apply hours;cs19l209;cs18k209;cs17j209;cs16i209;cs15h209;cs14g209;cs13f209;cs12e209;cs11d209;cs10c209;cs09b209;cs08a209
collections_min;other collection average time expenditure on days that apply minutes;cs19l210;cs18k210;cs17j210;cs16i210;cs15h210;cs14g210;cs13f210;cs12e210;cs11d210;cs10c210;cs09b210;cs08a210
course_hours;following a course average time expenditure on days that apply hours;cs19l211;cs18k211;cs17j211;cs16i211;cs15h211;cs14g211;cs13f211;cs12e211;cs11d211;cs10c211;cs09b211;cs08a211
course_min;following a course average time expenditure on days that apply minutes;cs19l212;cs18k212;cs17j212;cs16i212;cs15h212;cs14g212;cs13f212;cs12e212;cs11d212;cs10c212;cs09b212;cs08a212
drama_hours;drama musical ballet dance average time expenditure on days that apply hour;cs19l213;cs18k213;cs17j213;cs16i213;cs15h213;cs14g213;cs13f213;cs12e213;cs11d213;cs10c213;cs09b213;cs08a213
drama_min;drama musical ballet dance average time expenditure on days that apply minu;cs19l214;cs18k214;cs17j214;cs16i214;cs15h214;cs14g214;cs13f214;cs12e214;cs11d214;cs10c214;cs09b214;cs08a214
equestrian_sports_hours;equestrian sport average time expenditure on days that apply hours;cs19l215;cs18k215;cs17j215;cs16i215;cs15h215;cs14g215;cs13f215;cs12e215;cs11d215;cs10c215;cs09b215;cs08a215
equestrian_sports_min;equestrian sport average time expenditure on days that apply minutes;cs19l216;cs18k216;cs17j216;cs16i216;cs15h216;cs14g216;cs13f216;cs12e216;cs11d216;cs10c216;cs09b216;cs08a216
motorsport_hours;car/motor sport average time expenditure on days that apply hours;cs19l217;cs18k217;cs17j217;cs16i217;cs15h217;cs14g217;cs13f217;cs12e217;cs11d217;cs10c217;cs09b217;cs08a217
motorsport_min;car/motor sport average time expenditure on days that apply minutes;cs19l218;cs18k218;cs17j218;cs16i218;cs15h218;cs14g218;cs13f218;cs12e218;cs11d218;cs10c218;cs09b218;cs08a218
mechanical_hours;mechanical work on car/motorcycle average time expenditure on days that apply;cs19l219;cs18k219;cs17j219;cs16i219;cs15h219;cs14g219;cs13f219;cs12e219;cs11d219;cs10c219;cs09b219;cs08a219
mechanical_min;mechanical work on car/motorcycle average time expenditure on days that apply;cs19l220;cs18k220;cs17j220;cs16i220;cs15h220;cs14g220;cs13f220;cs12e220;cs11d220;cs10c220;cs09b220;cs08a220
card_games_hours;card games average time expenditure on days that apply hours;cs19l221;cs18k221;cs17j221;cs16i221;cs15h221;cs14g221;cs13f221;cs12e221;cs11d221;cs10c221;cs09b221;cs08a221
card_games_min;card games average time expenditure on days that apply minutes;cs19l222;cs18k222;cs17j222;cs16i222;cs15h222;cs14g222;cs13f222;cs12e222;cs11d222;cs10c222;cs09b222;cs08a222
billards_hours;billiards pool snooker darts: hours average time expenditure on days that ap;cs19l223;cs18k223;cs17j223;cs16i223;cs15h223;cs14g223;cs13f223;cs12e223;cs11d223;cs10c223;cs09b223;cs08a223
billards_min;billiards pool snooker darts: hours average time expenditure on days that ap;cs19l224;cs18k224;cs17j224;cs16i224;cs15h224;cs14g224;cs13f224;cs12e224;cs11d224;cs10c224;cs09b224;cs08a224
pigeon_hours;pigeon keeping average time expenditure on days that apply hours;cs19l225;cs18k225;cs17j225;cs16i225;cs15h225;cs14g225;cs13f225;cs12e225;cs11d225;cs10c225;cs09b225;cs08a225
pigeon_min;pigeon keeping average time expenditure on days that apply minutes;cs19l226;cs18k226;cs17j226;cs16i226;cs15h226;cs14g226;cs13f226;cs12e226;cs11d226;cs10c226;cs09b226;cs08a226
goout_hours;going out cinema theatre dining out terrace lounging average time expenditu;cs19l227;cs18k227;cs17j227;cs16i227;cs15h227;cs14g227;cs13f227;cs12e227;cs11d227;cs10c227;cs09b227;cs08a227
goout_min;going out cinema theatre dining out terrace lounging average time expenditu;cs19l228;cs18k228;cs17j228;cs16i228;cs15h228;cs14g228;cs13f228;cs12e228;cs11d228;cs10c228;cs09b228;cs08a228
cooking_hours;cooking average time expenditure on days that apply hours;cs19l229;cs18k229;cs17j229;cs16i229;cs15h229;cs14g229;cs13f229;cs12e229;cs11d229;cs10c229;cs09b229;cs08a229
cooking_min;cooking average time expenditure on days that apply minutes;cs19l230;cs18k230;cs17j230;cs16i230;cs15h230;cs14g230;cs13f230;cs12e230;cs11d230;cs10c230;cs09b230;cs08a230
listening_hours;listening to music average time expenditure on days that apply hours;cs19l231;cs18k231;cs17j231;cs16i231;cs15h231;cs14g231;cs13f231;cs12e231;cs11d231;cs10c231;cs09b231;cs08a231
listening_min;listening to music average time expenditure on days that apply minutes;cs19l232;cs18k232;cs17j232;cs16i232;cs15h232;cs14g232;cs13f232;cs12e232;cs11d232;cs10c232;cs09b232;cs08a232
fishing_hours;fishing average time expenditure on days that apply hours;cs19l233;cs18k233;cs17j233;cs16i233;cs15h233;cs14g233;cs13f233;cs12e233;cs11d233;cs10c233;cs09b233;cs08a233
fishing_min;fishing average time expenditure on days that apply minutes;cs19l234;cs18k234;cs17j234;cs16i234;cs15h234;cs14g234;cs13f234;cs12e234;cs11d234;cs10c234;cs09b234;cs08a234
shopping_hours;shopping average time expenditure on days that apply hours;cs19l235;cs18k235;cs17j235;cs16i235;cs15h235;cs14g235;cs13f235;cs12e235;cs11d235;cs10c235;cs09b235;cs08a235
shopping_min;shopping average time expenditure on days that apply minutes;cs19l236;cs18k236;cs17j236;cs16i236;cs15h236;cs14g236;cs13f236;cs12e236;cs11d236;cs10c236;cs09b236;cs08a236
dancing_hours;dancing average time expenditure on days that apply hours;cs19l237;cs18k237;cs17j237;cs16i237;cs15h237;cs14g237;cs13f237;cs12e237;cs11d237;cs10c237;cs09b237;cs08a237
dancing_min;dancing average time expenditure on days that apply minutes;cs19l238;cs18k238;cs17j238;cs16i238;cs15h238;cs14g238;cs13f238;cs12e238;cs11d238;cs10c238;cs09b238;cs08a238
boating_hours;boating average time expenditure on days that apply hours;cs19l239;cs18k239;cs17j239;cs16i239;cs15h239;cs14g239;cs13f239;cs12e239;cs11d239;cs10c239;cs09b239;cs08a239
boating_min;boating average time expenditure on days that apply minutes;cs19l240;cs18k240;cs17j240;cs16i240;cs15h240;cs14g240;cs13f240;cs12e240;cs11d240;cs10c240;cs09b240;cs08a240
pc_use_d;do you sometimes use a computer or laptop besides when completing the questionn;cs19l505;cs18k505;cs17j505;cs16i505;cs15h505;cs14g241;cs13f241;cs12e241;cs11d241;cs10c241;cs09b241;cs08a241
pc_use_home;computer or laptop use average number of hours per week: at home;cs19l242;cs18k242;cs17j242;cs16i242;cs15h242;cs14g242;cs13f242;cs12e242;cs11d242;cs10c242;cs09b242;cs08a242
pc_use_work;computer or laptop use average number of hours per week: at work;cs19l243;cs18k243;cs17j243;cs16i243;cs15h243;cs14g243;cs13f243;cs12e243;cs11d243;cs10c243;cs09b243;cs08a243
pc_use_school;computer or laptop use average number of hours per week: in school;cs19l244;cs18k244;cs17j244;cs16i244;cs15h244;cs14g244;cs13f244;cs12e244;cs11d244;cs10c244;cs09b244;cs08a244
pc_use_other;computer or laptop use average number of hours per week: somewhere else (e.g. a;cs19l245;cs18k245;cs17j245;cs16i245;cs15h245;cs14g245;cs13f245;cs12e245;cs11d245;cs10c245;cs09b245;cs08a245
internet_use_d;Do you sometimes make use of the Internet besides when completing the questionn;;;;;;;;;cs11d246;cs10c246;cs09b246;cs08a246
internet_use_home;Internet use average number of hours per week: at home;;;;;;;;;cs11d247;cs10c247;cs09b247;cs08a247
internet_use_work;Internet use average number of hours per week: at work;;;;;;;;;cs11d248;cs10c248;cs09b248;cs08a248
internet_use_school;Internet use average number of hours per week: in school;;;;;;;;;cs11d249;cs10c249;cs09b249;cs08a249
interent_use_other;Internet use average number of hours per week: somewhere else (e.g. a community;;;;;;;;;cs11d250;cs10c250;cs09b250;cs08a250
online_email_d;ever spend time on: email;cs19l251;cs18k251;cs17j251;cs16i251;cs15h251;cs14g251;cs13f251;cs12e251;cs11d251;cs10c251;cs09b251;cs08a251
online_search_d;ever spend time on: searching for information on the Internet (e.g. about hobbie;cs19l252;cs18k252;cs17j252;cs16i252;cs15h252;cs14g252;cs13f252;cs12e252;cs11d252;cs10c252;cs09b252;cs08a252
online_compare_d;ever spend time on: searching for and comparing products/product information on;cs19l253;cs18k253;cs17j253;cs16i253;cs15h253;cs14g253;cs13f253;cs12e253;cs11d253;cs10c253;cs09b253;cs08a253
online_buy_d;ever spend time on: purchasing items via the Internet;cs19l254;cs18k254;cs17j254;cs16i254;cs15h254;cs14g254;cs13f254;cs12e254;cs11d254;cs10c254;cs09b254;cs08a254
online_watch_d;ever spend time on: watching short films (e.g. via YouTube);;;;;;;;;cs11d255;cs10c255;cs09b255;cs08a255
online_tv_d;ever spend time on: watching online films or TV programs;cs19l429;cs18k429;cs17j429;cs16i429;cs15h429;cs14g429;cs13f429;cs12e429;cs11d256;cs10c256;cs09b256;cs08a256
online_software_d;ever spend time on: downloading software;cs19l430;cs18k430;cs17j430;cs16i430;cs15h430;cs14g430;cs13f430;cs12e430;cs11d257;cs10c257;cs09b257;cs08a257
online_download_d;ever spend time on: downloading music or films;;;;;;;;;cs11d258;cs10c258;cs09b258;cs08a258
online_gamble_d;ever spend time on: visiting gambling sites;;;;;;;;;cs11d259;cs10c259;cs09b259;cs08a259
online_banking_d;ever spend time on: Internet banking;cs19l260;cs18k260;cs17j260;cs16i260;cs15h260;cs14g260;cs13f260;cs12e260;cs11d260;cs10c260;cs09b260;cs08a260
online_game_d;ever spend time on: playing Internet games/online gaming;cs19l261;cs18k261;cs17j261;cs16i261;cs15h261;cs14g261;cs13f261;cs12e261;cs11d261;cs10c261;cs09b261;cs08a261
online_news_d;ever spend time on: reading online news and magazines;cs19l262;cs18k262;cs17j262;cs16i262;cs15h262;cs14g262;cs13f262;cs12e262;cs11d262;cs10c262;cs09b262;cs08a262
online_newsgroup_d;ever spend time on: newsgroups;cs19l263;cs18k263;cs17j263;cs16i263;cs15h263;cs14g263;cs13f263;cs12e263;cs11d263;cs10c263;cs09b263;cs08a263
online_chat_d;ever spend time on: chatting video calling or sending messages via WhatsApp Te;cs19l264;cs18k264;cs17j264;cs16i264;cs15h264;cs14g264;cs13f264;cs12e264;cs11d264;cs10c264;cs09b264;cs08a264
online_forum_d;ever spend time on: visiting (discussion)forums and Internet communities;cs19l265;cs18k265;cs17j265;cs16i265;cs15h265;cs14g265;cs13f265;cs12e265;cs11d265;cs10c265;cs09b265;cs08a265
online_other_d;ever spend time on: other activities on the Internet;cs19l266;cs18k266;cs17j266;cs16i266;cs15h266;cs14g266;cs13f266;cs12e266;cs11d266;cs10c266;cs09b266;cs08a266
online_mail_hours;average number of hours per week spent on: email;cs19l267;cs18k267;cs17j267;cs16i267;cs15h267;cs14g267;cs13f267;cs12e267;cs11d267;cs10c267;cs09b267;cs08a267
online_search_hours;average number of hours per week spent on: searching for information on the Inte;cs19l268;cs18k268;cs17j268;cs16i268;cs15h268;cs14g268;cs13f268;cs12e268;cs11d268;cs10c268;cs09b268;cs08a268
online_compare_hours;average number of hours per week spent on: searching for and comparing products/;cs19l269;cs18k269;cs17j269;cs16i269;cs15h269;cs14g269;cs13f269;cs12e269;cs11d269;cs10c269;cs09b269;cs08a269
online_buy_hours;average number of hours per week spent on: purchasing items via the Internet;cs19l270;cs18k270;cs17j270;cs16i270;cs15h270;cs14g270;cs13f270;cs12e270;cs11d270;cs10c270;cs09b270;cs08a270
online_watch_hours;average number of hours per week spent on: watching short films (e.g. via YouTub;;;;;;;;;cs11d271;cs10c271;cs09b271;cs08a271
online_tv_hours;average number of hours per week spent on: watching online films or TV programs;cs19l437;cs18k437;cs17j437;cs16i437;cs15h437;cs14g437;cs13f437;cs12e437;cs11d272;cs10c272;cs09b272;cs08a272
online_software_hours;average number of hours per week spent on: downloading software;cs19l438;cs18k438;cs17j438;cs16i438;cs15h438;cs14g438;cs13f438;cs12e438;cs11d273;cs10c273;cs09b273;cs08a273
online_download_hours;average number of hours per week spent on: downloading music or films;;;;;;;;;cs11d274;cs10c274;cs09b274;cs08a274
online_gamble_hours;average number of hours per week spent on: visiting gambling sites;;;;;;;;;cs11d275;cs10c275;cs09b275;cs08a275
online_banking_hours;average number of hours per week spent on: Internet banking;cs19l276;cs18k276;cs17j276;cs16i276;cs15h276;cs14g276;cs13f276;cs12e276;cs11d276;cs10c276;cs09b276;cs08a276
online_game_hours;average number of hours per week spent on: playing Internet games/online gaming;cs19l277;cs18k277;cs17j277;cs16i277;cs15h277;cs14g277;cs13f277;cs12e277;cs11d277;cs10c277;cs09b277;cs08a277
online_news_hours;average number of hours per week spent on: reading online news and magazines;cs19l278;cs18k278;cs17j278;cs16i278;cs15h278;cs14g278;cs13f278;cs12e278;cs11d278;cs10c278;cs09b278;cs08a278
online_newsgroup_hours;average number of hours per week spent on: newsgroups;cs19l279;cs18k279;cs17j279;cs16i279;cs15h279;cs14g279;cs13f279;cs12e279;cs11d279;cs10c279;cs09b279;cs08a279
online_chat_hours;average number of hours per week spent on: chatting video calling or sending me;cs19l280;cs18k280;cs17j280;cs16i280;cs15h280;cs14g280;cs13f280;cs12e280;cs11d280;cs10c280;cs09b280;cs08a280
online_forum_hours;average number of hours per week spent on: visiting (discussion)forums and Inter;cs19l281;cs18k281;cs17j281;cs16i281;cs15h281;cs14g281;cs13f281;cs12e281;cs11d281;cs10c281;cs09b281;cs08a281
online_other_hours;average number of hours per week spent on: other activities on the Internet;cs19l282;cs18k282;cs17j282;cs16i282;cs15h282;cs14g282;cs13f282;cs12e282;cs11d282;cs10c282;cs09b282;cs08a282
satisfaction_social_contacts;How satisfied are you with your social contacts?;cs19l283;cs18k283;cs17j283;cs16i283;cs15h283;cs14g283;cs13f283;cs12e283;cs11d283;cs10c283;cs09b283;cs08a283
